Key,Id,Danish(da),English(en),French(fr),Spanish(es),Chinese (Simplified)(zh-Hans)
AttackType.Magic,7.0629E+15,Magi,Magic,Magie,Magia,魔法
AttackType.Melee,7.06289E+15,N?rkamp,Melee,Corps à corps,Cuerpo a cuerpo,近战
AttackType.Ranged,7.06289E+15,R?kkevidde,Ranged,à distance,A distancia,远程
BioTitle.Barbarian,7.22978E+15,Under en Fuldm?ne,Under a Full Moon,Sous la Pleine Lune,Bajo la Luna Llena,满月之下
BioTitle.Necromancer,7.22987E+15,Knoglernes Herre,The Lord of Bones,Le Seigneur des Os,El Se?or de los Huesos,骨之主
BioTitle.Paladin,7.22966E+15,Den Hellige Ridder af Kongeriget,The Sacred Knight of the Kingdom,Le Chevalier Sacré du Royaume,El Caballero Sagrado del Reino,王国圣骑
BioTitle.Wizard,7.22974E+15,Historien om Heksen,Tale of the Witch,Le Conte de la Sorcière,La Historia de la Hechicera,女巫传说
Char_AutoEquip,6.31513E+15,Auto-udstyr,Auto-Equip,Auto-équiper,Auto-equipar,自动装备
Char_BioTab,6.3151E+15,Bio,Bio,Bio,Bio,传记
Char_LevelUp,6.31523E+15,Opgradér,Level up,Améliorer,Subir de nivel,升级
Char_SkillsTab,6.31508E+15,Evner,Skills,Compétences,Habilidades,技能
Char_StatsTab,6.31505E+15,Stats,Stats,Stats,Stats,属性
Char_Unequip,6.31525E+15,Fjern udstyr,Unequip,Déséquiper,Desequipar,卸下装备
CharacterClass.Barbarian,7.04803E+15,Barbarian,Barbarian,Barbarian,Barbarian,野蛮人
CharacterClass.Necromancer,7.04838E+15,Necromancer,Necromancer,Necromancer,Necromancer,necromancer（死灵法师，游戏语境常用 “死灵法师” ）
CharacterClass.Paladin,6.92044E+15,Paladin,Paladin,Paladin,Paladín,圣骑士
CharacterClass.Wizard,6.92058E+15,Troldmand,Wizard,Magicien,Mago,巫师
Home_Level,5.96699E+15,Niveau,Level,Niveau,Nivel,等级
Home_LevelSubtitle,6.11797E+15,Dragens Hule,The Dragon's Lair,Le Repaire du Dragon,La Guarida del Dragón,龙巢
Home_PlayButton,5.96696E+15,Spil,Play,Jouer,Jugar,游玩
Info_AssetStore,6.15339E+15,Asset Store,Asset Store,Asset Store,Asset Store,资源商店
Info_Blog,6.15337E+15,Blog,Blog,Blog,Blog,博客
Info_DiscoverUIToolkit,6.1532E+15,Oplev UI Toolkit-l?sninger og -arbejdsgange i vores gratis e-bog,Discover UI Toolkit solutions land workflows in our free e-book,Découvrez les solutions et les flux de travail de UI Toolkit dans notre e-book gratuit,Descubre UI Toolkit en nuestro e-book gratuito,在我们的免费电子书中探索 UI Toolkit 解决方案和工作流
Info_Discuss,6.15335E+15,Forum,Discuss,Forum,Foro,论坛
Info_GetEbook,6.15326E+15,F? e-bogen,Get the e-book,Obtenez l’e-book,Obtén el e-book,获取电子书
Info_Manual,6.15332E+15,Manual,Manual,Manuel,Manual,手册
Info_MoreContent,6.15341E+15,Mere UI-indhold fra Unity,More UI content from Unity,Plus de contenu UI de Unity,Más contenido de UI de Unity,Unity 更多 UI 内容
Info_Title,6.15307E+15,Ressourcer,Resources,Ressources,Recursos,资源
Inventory_Rarity_All,6.30905E+15,Alle,All,Tous,Todos,全部
Inventory_Rarity_Common,6.30915E+15,Almindelig,Common,Commun,Común,普通
Inventory_Rarity_Rare,6.30922E+15,Sj?lden,Rare,Rare,Raro,稀有
Inventory_Rarity_Special,6.30925E+15,Speciel,Special,Spécial,Especial,特殊
Inventory_SlotType_All,6.30928E+15,St?vler,Boots,Bottes,Botas,靴子
Inventory_SlotType_Boots,6.3094E+15,Handsker,Gloves,Gants,Guantes,手套
Inventory_SlotType_Gloves,6.30943E+15,Hjelm,Helmet,Casque,Casco,头盔
Inventory_SlotType_Helmet,6.30937E+15,Skjold,Shield,Bouclier,Escudo,盾牌
Inventory_SlotType_Shield,6.30934E+15,V?ben,Weapon,Arme,Arma,武器
Inventory_SlotType_Weapon,6.30931E+15,Udstyrsinventar,Gear Inventory,Inventaire d’équipement,Inventario de equipo,装备背包
Inventory_Title,6.29751E+15,Indl?s,Claim,Réclamer,Reclamar,领取
Mail_Claim,6.18743E+15,Slettet,Deleted,Supprimés,Eliminados,已删除
Mail_Deleted,6.1874E+15,Indbakke,Inbox,Bo?te,Entrada,收件箱
Mail_Inbox,6.18737E+15,Ingen besked valgt.,No message selected.,Aucun message sélectionné.,Ningún mensaje seleccionado.,未选中消息。
Mail_NoMessage,6.18748E+15,Helte,Heroes,Héros,Héroes,英雄
Menu_Char,5.96438E+15,Hjem,Home,Accueil,Inicio,主页
Menu_Home,5.96432E+15,Post,Mail,Courrier,Correo,邮件
Menu_Info,5.96441E+15,Butik,Shop,Boutique,Tienda,商店
Menu_Mail,5.96445E+15,<color=#F8BB19>{0}</color> udstyret.,<color=#F8BB19>{0}</color> equipped.,<color=#F8BB19>{0}</color> équipé.,<color=#F8BB19>{0}</color> equipado.,<color=#F8BB19>{0}</color> 已装备。
