Key,Id,Chinese (Simplified) (zh-Hans),Danish(da),English(en),French(fr),Spanish(es)
AttackType.Magic,7.06E+15,魔法,Magi,Magic,Magie,Magia
AttackType.Melee,7.06E+15,近战,N?rkamp,Melee,Corps à corps,Cuerpo a cuerpo
AttackType.Ranged,7.06E+15,远程,R?kkevidde,Ranged,à distance,A distancia
BioTitle.Barbarian,7.23E+15,满月之下,Under en Fuldm?ne,Under a Full Moon,Sous la Pleine Lune,Bajo la Luna Llena
BioTitle.Necromancer,7.23E+15,骨之主,Knoglernes Herre,The Lord of Bones,Le Seigneur des Os,El Se?or de los Huesos
BioTitle.Paladin,7.23E+15,王国圣骑,Den Hellige Ridder af Kongeriget,The Sacred Knight of the Kingdom,Le Chevalier Sacré du Royaume,El Caballero Sagrado del Reino
BioTitle.Wizard,7.23E+15,女巫传说,Historien om Heksen,Tale of the Witch,Le Conte de la Sorcière,La Historia de la Hechicera
Char_AutoEquip,6.32E+15,自动装备,Auto-udstyr,Auto-Equip,Auto-équiper,Auto-equipar
Char_BioTab,6.32E+15,传记,Bio,Bio,Bio,Bio
Char_LevelUp,6.32E+15,升级,Opgradér,Level up,Améliorer,Subir de nivel
Char_SkillsTab,6.32E+15,技能,Evner,Skills,Compétences,Habilidades
Char_StatsTab,6.32E+15,属性,Stats,Stats,Stats,Stats
Char_Unequip,6.32E+15,卸下装备,Fjern udstyr,Unequip,Déséquiper,Desequipar
CharacterClass.Barbarian,7.05E+15,野蛮人,Barbarian,Barbarian,Barbarian,Barbarian
CharacterClass.Necromancer,7.05E+15,necromancer（死灵法师，游戏语境常用 “死灵法师” ）,Necromancer,Necromancer,Necromancer,Necromancer
CharacterClass.Paladin,6.92E+15,圣骑士,Paladin,Paladin,Paladin,Paladín
CharacterClass.Wizard,6.92E+15,巫师,Troldmand,Wizard,Magicien,Mago
Home_Level,5.97E+15,等级,Niveau,Level,Niveau,Nivel
Home_LevelSubtitle,6.12E+15,龙巢,Dragens Hule,The Dragon's Lair,Le Repaire du Dragon,La Guarida del Dragón
Home_PlayButton,5.97E+15,游玩,Spil,Play,Jouer,Jugar
Info_AssetStore,6.15E+15,资源商店,Asset Store,Asset Store,Asset Store,Asset Store
Info_Blog,6.15E+15,博客,Blog,Blog,Blog,Blog
Info_DiscoverUIToolkit,6.15E+15,在我们的免费电子书中探索 UI Toolkit 解决方案和工作流,Oplev UI Toolkit-l?sninger og -arbejdsgange i vores gratis e-bog,Discover UI Toolkit solutions land workflows in our free e-book,Découvrez les solutions et les flux de travail de UI Toolkit dans notre e-book gratuit,Descubre UI Toolkit en nuestro e-book gratuito
Info_Discuss,6.15E+15,论坛,Forum,Discuss,Forum,Foro
Info_GetEbook,6.15E+15,获取电子书,F? e-bogen,Get the e-book,Obtenez l’e-book,Obtén el e-book
Info_Manual,6.15E+15,手册,Manual,Manual,Manuel,Manual
Info_MoreContent,6.15E+15,Unity 更多 UI 内容,Mere UI-indhold fra Unity,More UI content from Unity,Plus de contenu UI de Unity,Más contenido de UI de Unity
Info_Title,6.15E+15,资源,Ressourcer,Resources,Ressources,Recursos
Inventory_Rarity_All,6.31E+15,全部,Alle,All,Tous,Todos
Inventory_Rarity_Common,6.31E+15,普通,Almindelig,Common,Commun,Común
