Key,Id,Danish(da),English(en),French(fr),Spanish(es)
"AttackType.Magic",7062895983583232,"Magi","Magic","Magie","Magia"
"AttackType.Melee",7062893907402752,"Nærkamp","Melee","Corps à corps","Cuerpo a cuerpo"
"AttackType.Ranged",7062891260796928,"Rækkevidde","Ranged","À distance","A distancia"
"BioTitle.Barbarian",7229777718009856,"Under en Fuldmåne","Under a Full Moon","Sous la Pleine Lune","Bajo la Luna Llena"
"BioTitle.Necromancer",7229870013669376,"Knoglernes Herre","The Lord of Bones","Le Seigneur des Os","El Señor de los Huesos"
"BioTitle.Paladin",7229657865773056,"Den Hellige Ridder af Kongeriget","The Sacred Knight of the Kingdom","Le Chevalier Sacré du Royaume","El Caballero Sagrado del Reino"
"BioTitle.Wizard",7229742183866368,"Historien om Heksen","Tale of the Witch","Le Conte de la Sorcière","La Historia de la Hechicera"
"Char_AutoEquip",6315128545861632,"Auto-udstyr","Auto-Equip","Auto-équiper","Auto-equipar"
"Char_BioTab",6315104374087680,"Bio","Bio","Bio","Bio"
"Char_LevelUp",6315225115516928,"Opgradér","Level up","Améliorer","Subir de nivel"
"Char_SkillsTab",6315080336531456,"Evner","Skills","Compétences","Habilidades"
"Char_StatsTab",6315048011030528,"Stats","Stats","Stats","Stats"
"Char_Unequip",6315248591036416,"Fjern udstyr","Unequip","Déséquiper","Desequipar"
"CharacterClass.Barbarian",7048026030858240,"Barbarian","Barbarian","Barbarian","Barbarian"
"CharacterClass.Necromancer",7048384320888832,"Necromancer","Necromancer","Necromancer","Necromancer"
"CharacterClass.Paladin",6920435546447872,"Paladin","Paladin","Paladin","Paladín"
"CharacterClass.Wizard",6920577112596480,"Troldmand","Wizard","Magicien","Mago"
"Home_Level",5966988399599616,"Niveau","Level","Niveau","Nivel"
"Home_LevelSubtitle",6117969045217280,"Dragens Hule","The Dragon's Lair","Le Repaire du Dragon","La Guarida del Dragón"
"Home_PlayButton",5966959018500096,"Spil","Play","Jouer","Jugar"
"Info_AssetStore",6153387891482624,"Asset Store","Asset Store","Asset Store","Asset Store"
"Info_Blog",6153368325054464,"Blog","Blog","Blog","Blog"
